frequency,id,observation_end,observation_start,seasonal_adjustment,title,units,county_id
Annual,B03002003E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, White Alone (5-year estimate)",Persons,27336
Annual,B03002004E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Black or African American Alone (5-year estimate)",Persons,27336
Annual,B03002005E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, American Indian and Alaska Native Alone (5-year estimate)",Persons,27336
Annual,B03002006E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Asian Alone (5-year estimate)",Persons,27336
Annual,B03002007E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Native Hawaiian and Other Pacific Islander Alone (5-year estimate)",Persons,27336
Annual,B03002008E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Some Other Race Alone (5-year estimate)",Persons,27336
Annual,B03002009E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Two or More Races (5-year estimate)",Persons,27336
Annual,B03002010E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Two or More Races, Two Races Including Some Other Race (5-year estimate)",Persons,27336
Annual,B03002011E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Two or More Races, Two Races Excluding Some Other Race, and Three or More Races (5-year estimate)",Persons,27336
Annual,B03002012E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino (5-year estimate)",Persons,27336
Annual,B03002013E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, White Alone (5-year estimate)",Persons,27336
Annual,B03002014E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Black or African American Alone (5-year estimate)",Persons,27336
Annual,B03002015E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, American Indian and Alaska Native Alone (5-year estimate)",Persons,27336
Annual,B03002016E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Asian Alone (5-year estimate)",Persons,27336
Annual,B03002017E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Native Hawaiian and Other Pacific Islander Alone (5-year estimate)",Persons,27336
Annual,B03002018E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Some Other Race Alone (5-year estimate)",Persons,27336
Annual,B03002019E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Two or More Races (5-year estimate)",Persons,27336
Annual,B03002020E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Two or More Races, Two Races Including Some Other Race (5-year estimate)",Persons,27336
Annual,B03002021E001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Two or More Races, Two Races Excluding Some Other Race, and Three or More Races (5-year estimate)",Persons,27336
Annual,B080ACS001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,Mean Commuting Time for Workers (5-year estimate),Minutes,27336
Annual,B14005DCYACS001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Disconnected Youth (5-year estimate) for Autauga County, A",Percent,27336
Annual,BPPRIV001001,2018-01-01,1990-01-01,Not Seasonally Adjusted,"New Private Housing Structures Authorized by Building Permits for Autauga County, A",Units,27336
Annual,CBR01001ALA647NCEN,2017-01-01,1989-01-01,Not Seasonally Adjusted,SNAP Benefits Recipients,Persons,27336
Annual,CDC20N2U001001,2017-01-01,1999-01-01,Not Seasonally Adjusted,"Premature Death Rate for Autauga County, A","Rate per 100,000",27336
Annual,CDC20N2UAA001001,2017-01-01,1999-01-01,Not Seasonally Adjusted,"Age-Adjusted Premature Death Rate for Autauga County, A","Rate per 100,000",27336
Annual,DMPCRATE001001,2014-01-01,2008-01-01,Not Seasonally Adjusted,Rate of Preventable Hospital Admissions,Rate,27336
Annual,DP04ACS001001,2018-01-01,2010-01-01,Not Seasonally Adjusted,Burdened Households,Percent,27336
Quarterly,ENU0100120510,2019-07-01,1990-01-01,Not Seasonally Adjusted,Number of Private Establishments for All Industries,Establishments,27336
Quarterly,EQFXSUBPRIME001001,2019-10-01,1999-01-01,Not Seasonally Adjusted,"Equifax Subprime Credit Population for Autauga County, A",Percent,27336
Annual,FBITC001001,2018-01-01,2004-01-01,Not Seasonally Adjusted,Combined Violent and Property Crime Incidents Known to Law Enforcement,Known Incidents,27336
Annual,GDPALL01001,2018-01-01,2001-01-01,Not Seasonally Adjusted,Gross Domestic Product: All Industries,Thousands of U.S. Dollars,27336
Annual,GDPGOODS01001,2018-01-01,2001-01-01,Not Seasonally Adjusted,Gross Domestic Product: Private Goods-Producing Industries,Thousands of U.S. Dollars,27336
Annual,GDPGOVT01001,2018-01-01,2001-01-01,Not Seasonally Adjusted,Gross Domestic Product: Government and Government Enterprises,Thousands of U.S. Dollars,27336
Annual,GDPSERV01001,2018-01-01,2001-01-01,Not Seasonally Adjusted,Gross Domestic Product: Private Services-Providing Industries,Thousands of U.S. Dollars,27336
Annual,HC01ESTVC1601001,2018-01-01,2010-01-01,Not Seasonally Adjusted,High School Graduate or Higher (5-year estimate),Percent,27336
Annual,HC01ESTVC1701001,2018-01-01,2010-01-01,Not Seasonally Adjusted,Bachelor's Degree or Higher (5-year estimate),Percent,27336
Annual,HOWNRATEACS001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Homeownership Rate (5-year estimate) for Autauga County, A",Rate,27336
Annual,LAUCN010010000000003A,2018-01-01,1990-01-01,Not Seasonally Adjusted,Unemployment Rate,Percent,27336
Monthly,LAUCN010010000000004,2020-02-01,1990-01-01,Not Seasonally Adjusted,Unemployed Persons,Persons,27336
Annual,LAUCN010010000000004A,2018-01-01,1990-01-01,Not Seasonally Adjusted,Unemployed Persons,Persons,27336
Monthly,LAUCN010010000000005,2020-02-01,1990-01-01,Not Seasonally Adjusted,Employed Persons,Persons,27336
Annual,LAUCN010010000000005A,2018-01-01,1990-01-01,Not Seasonally Adjusted,Employed Persons,Persons,27336
Annual,LAUCN010010000000006A,2018-01-01,1990-01-01,Not Seasonally Adjusted,Civilian Labor Force,Persons,27336
Monthly,MEDDAYONMAR1001,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: Median Days on Market,Level,27336
Monthly,MEDDAYONMARMM1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Median Days on Market Month-Over-Month,Percent,27336
Monthly,MEDDAYONMARYY1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Median Days on Market Year-Over-Year,Percent,27336
Monthly,MEDLISPRI1001,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: Median Listing Price,U.S. Dollars,27336
Monthly,MEDLISPRIMM1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Median Listing Price Month-Over-Month,Percent,27336
Monthly,MEDLISPRIPERSQUFEE1001,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: Median Listing Price per Square Feet,U.S. Dollars,27336
Monthly,MEDLISPRIPERSQUFEEMM1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Median Listing Price per Square Feet Month-Over-Month,Percent,27336
Monthly,MEDLISPRIPERSQUFEEYY1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Median Listing Price per Square Feet Year-Over-Year,Percent,27336
Monthly,MEDLISPRIYY1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Median Listing Price Year-Over-Year,Percent,27336
Monthly,MEDSQUFEE1001,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: Median Home Size in Square Feet,Level,27336
Monthly,MEDSQUFEEMM1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Median Home Size in Square Feet Month-Over-Month,Percent,27336
Monthly,MEDSQUFEEYY1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Median Home Size in Square Feet Year-Over-Year,Percent,27336
Annual,MHIAL01001A052NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"Estimate of Median Household Income for Autauga County, A",Dollars,27336
Annual,MHICILBAL01001A052NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Lower Bound of Estimate of Median Household Income for Autauga County, A",Dollars,27336
Annual,MHICIUBAL01001A052NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Upper Bound of Estimate of Median Household Income for Autauga County, A",Dollars,27336
Annual,NETMIGNACS001001,2017-01-01,2009-01-01,Not Seasonally Adjusted,"Net County-to-County Migration Flow (5-year estimate) for Autauga County, A",Persons,27336
Monthly,NEWLISCOU1001,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: New Listing Count,U.S. Dollars,27336
Monthly,NEWLISCOUMM1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: New Listing Count Month-Over-Month,Percent,27336
Monthly,NEWLISCOUYY1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: New Listing Count Year-Over-Year,Percent,27336
Annual,PCPI01001,2018-01-01,1969-01-01,Not Seasonally Adjusted,Per Capita Personal Income,Dollars,27336
Annual,PE5T17AL01001A647NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"Estimate of Related Children Age 5-17 in Families in Poverty for Autauga County, A",Persons,27336
Annual,PEAAAL01001A647NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,Estimate of People of All Ages in Poverty,Persons,27336
Annual,PECILB5T17AL01001A647NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Lower Bound of Estimate of Related Children Age 5-17 in Families in Poverty for Autauga County, A",Persons,27336
Annual,PECILBAAAL01001A647NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Lower Bound of Estimate of People of All Ages in Poverty for Autauga County, A",Persons,27336
Annual,PECILBU18AL01001A647NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Lower Bound of Estimate of People Age 0-17 in Poverty for Autauga County, A",Persons,27336
Annual,PECIUB5T17AL01001A647NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Upper Bound of Estimate of Related Children Age 5-17 in Families in Poverty for Autauga County, A",Persons,27336
Annual,PECIUBAAAL01001A647NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Upper Bound of Estimate of People of All Ages in Poverty for Autauga County, A",Persons,27336
Annual,PECIUBU18AL01001A647NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Upper Bound of Estimate of People Age 0-17 in Poverty for Autauga County, A",Persons,27336
Monthly,PENLISCOU1001,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: Pending Listing Count,Level,27336
Monthly,PENLISCOUMM1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Pending Listing Count Month-Over-Month,Percent,27336
Monthly,PENLISCOUYY1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Pending Listing Count Year-Over-Year,Percent,27336
Monthly,PENRAT1001,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: Pending Ratio,Ratio,27336
Monthly,PENRATMM1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Pending Ratio Month-Over-Month,Ratio,27336
Monthly,PENRATYY1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Pending Ratio Year-Over-Year,Ratio,27336
Annual,PEU18AL01001A647NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,Estimate of People Age 0-17 in Poverty,Persons,27336
Annual,PI01001,2018-01-01,1969-01-01,Not Seasonally Adjusted,Personal Income,Thousands of Dollars,27336
Annual,PP5T17AL01001A156NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"Estimated Percent of Related Children Age 5-17 in Families in Poverty for Autauga County, A",Percent,27336
Annual,PPAAAL01001A156NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"Estimated Percent of People of All Ages in Poverty for Autauga County, A",Percent,27336
Annual,PPCILB5T17AL01001A156NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Lower Bound of Estimate of Percent of Related Children Age 5-17 in Families in Poverty for Autauga County, A",Percent,27336
Annual,PPCILBAAAL01001A156NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Lower Bound of Estimate of Percent of People of All Ages in Poverty for Autauga County, A",Percent,27336
Annual,PPCILBU18AL01001A156NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Lower Bound of Estimate of Percent of People Age 0-17 in Poverty for Autauga County, A",Percent,27336
Annual,PPCIUB5T17AL01001A156NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Upper Bound of Estimate of Percent of Related Children Age 5-17 in Families in Poverty for Autauga County, A",Percent,27336
Annual,PPCIUBAAAL01001A156NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Upper Bound of Estimate of Percent of People of All Ages in Poverty for Autauga County, A",Percent,27336
Annual,PPCIUBU18AL01001A156NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"90% Confidence Interval Upper Bound of Estimate of Percent of People Age 0-17 in Poverty for Autauga County, A",Percent,27336
Annual,PPU18AL01001A156NCEN,2018-01-01,1989-01-01,Not Seasonally Adjusted,"Estimated Percent of People Age 0-17 in Poverty for Autauga County, A",Percent,27336
Monthly,PRIINCCOU1001,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: Price Increased Count,Level,27336
Monthly,PRIINCCOUMM1001,2019-09-01,2018-07-01,Not Seasonally Adjusted,Housing Inventory: Price Increased Count Month-Over-Month,Percent,27336
Monthly,PRIINCCOUYY1001,2019-12-01,2017-09-01,Not Seasonally Adjusted,Housing Inventory: Price Increased Count Year-Over-Year,Percent,27336
Monthly,PRIREDCOU1001,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: Price Reduced Count,Level,27336
Monthly,PRIREDCOUMM1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Price Reduced Count Month-Over-Month,Percent,27336
Monthly,PRIREDCOUYY1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Price Reduced Count Year-Over-Year,Percent,27336
Annual,PUA0T17AL01001A647NCEN,2018-01-01,1998-01-01,Not Seasonally Adjusted,"Poverty Universe, Age 0-17 for Autauga County, A",Persons,27336
Annual,PUA5T17RAL01001A647NCEN,2018-01-01,1998-01-01,Not Seasonally Adjusted,"Poverty Universe, Age 5-17 related for Autauga County, A",Persons,27336
Annual,PUAAAL01001A647NCEN,2018-01-01,1998-01-01,Not Seasonally Adjusted,"Poverty Universe, All Ages for Autauga County, A",Persons,27336
Annual,RACEDISPARITY001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,"White to Non-White Racial Dissimilarity Index for Autauga County, A",Percent,27336
Annual,REALGDPALL01001,2018-01-01,2001-01-01,Not Seasonally Adjusted,Real Gross Domestic Product: All Industries,Thousands of Chained 2012 U.S. Dollars,27336
Annual,REALGDPGOODS01001,2018-01-01,2001-01-01,Not Seasonally Adjusted,Real Gross Domestic Product: Private Goods-Producing Industries,Thousands of Chained 2012 U.S. Dollars,27336
Annual,REALGDPGOVT01001,2018-01-01,2001-01-01,Not Seasonally Adjusted,Real Gross Domestic Product: Government and Government Enterprises,Thousands of Chained 2012 U.S. Dollars,27336
Annual,REALGDPSERV01001,2018-01-01,2001-01-01,Not Seasonally Adjusted,Real Gross Domestic Product: Private Services-Providing Industries,Thousands of Chained 2012 U.S. Dollars,27336
Annual,S1101SPHOUSE001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,Single-parent Households with Children as a Percentage of Households with Children,Percent,27336
Annual,S1501ACSTOTAL001001,2018-01-01,2009-01-01,Not Seasonally Adjusted,People 25 Years and Over Who Have Completed an Associate's Degree or Higher (5-year estimate),Percent,27336
Annual,S1701ACS001001,2018-01-01,2012-01-01,Not Seasonally Adjusted,Percent of Population Below the Poverty Level,Percent,27336
Monthly,TOTLISCOU1001,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: Total Listing Count,Level,27336
Monthly,TOTLISCOUMM1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Total Listing Count Month-Over-Month,Percent,27336
Monthly,TOTLISCOUYY1001,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Total Listing Count Year-Over-Year,Percent,27336
Annual,2020RATIO001003,2018-01-01,2010-01-01,Not Seasonally Adjusted,Income Inequality,Ratio,27337
Monthly,ACTLISCOU1003,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: Active Listing Count,Level,27337
Monthly,ACTLISCOUMM1003,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Active Listing Count Month-Over-Month,Percent,27337
Monthly,ACTLISCOUYY1003,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Active Listing Count Year-Over-Year,Percent,27337
Monthly,ALBALD0LFN,2020-02-01,1990-01-01,Not Seasonally Adjusted,Civilian Labor Force,Persons,27337
Annual,ALBALD0POP,2019-01-01,1970-01-01,Not Seasonally Adjusted,Resident Population,Thousands of Persons,27337
Monthly,ALBALD0URN,2020-02-01,1990-01-01,Not Seasonally Adjusted,Unemployment Rate,Percent,27337
Annual,ATNHPIUS01003A,2018-01-01,1977-01-01,Not Seasonally Adjusted,"All-Transactions House Price Index for Baldwin County, A",Index 2000=100,27337
Monthly,AVELISPRI1003,2020-03-01,2016-07-01,Not Seasonally Adjusted,Housing Inventory: Average Listing Price,U.S. Dollars,27337
Monthly,AVELISPRIMM1003,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Average Listing Price Month-Over-Month,Percent,27337
Monthly,AVELISPRIYY1003,2020-03-01,2017-07-01,Not Seasonally Adjusted,Housing Inventory: Average Listing Price Year-Over-Year,Percent,27337
Annual,B01002001E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Estimate, Median Age by Sex, Total Population (5-year estimate)",Years of Age,27337
Annual,B03002001E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total (5-year estimate)",Persons,27337
Annual,B03002002E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino (5-year estimate)",Persons,27337
Annual,B03002003E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, White Alone (5-year estimate)",Persons,27337
Annual,B03002004E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Black or African American Alone (5-year estimate)",Persons,27337
Annual,B03002005E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, American Indian and Alaska Native Alone (5-year estimate)",Persons,27337
Annual,B03002006E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Asian Alone (5-year estimate)",Persons,27337
Annual,B03002007E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Native Hawaiian and Other Pacific Islander Alone (5-year estimate)",Persons,27337
Annual,B03002008E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Some Other Race Alone (5-year estimate)",Persons,27337
Annual,B03002009E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Two or More Races (5-year estimate)",Persons,27337
Annual,B03002010E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Two or More Races, Two Races Including Some Other Race (5-year estimate)",Persons,27337
Annual,B03002011E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Not Hispanic or Latino, Two or More Races, Two Races Excluding Some Other Race, and Three or More Races (5-year estimate)",Persons,27337
Annual,B03002012E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino (5-year estimate)",Persons,27337
Annual,B03002013E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, White Alone (5-year estimate)",Persons,27337
Annual,B03002014E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Black or African American Alone (5-year estimate)",Persons,27337
Annual,B03002015E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, American Indian and Alaska Native Alone (5-year estimate)",Persons,27337
Annual,B03002016E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Asian Alone (5-year estimate)",Persons,27337
Annual,B03002017E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Native Hawaiian and Other Pacific Islander Alone (5-year estimate)",Persons,27337
Annual,B03002018E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Some Other Race Alone (5-year estimate)",Persons,27337
Annual,B03002019E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Two or More Races (5-year estimate)",Persons,27337
Annual,B03002020E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Two or More Races, Two Races Including Some Other Race (5-year estimate)",Persons,27337
Annual,B03002021E001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Population Estimate, Total, Hispanic or Latino, Two or More Races, Two Races Excluding Some Other Race, and Three or More Races (5-year estimate)",Persons,27337
Annual,B080ACS001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,Mean Commuting Time for Workers (5-year estimate),Minutes,27337
Annual,B14005DCYACS001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Disconnected Youth (5-year estimate) for Baldwin County, A",Percent,27337
Annual,BPPRIV001003,2018-01-01,1990-01-01,Not Seasonally Adjusted,"New Private Housing Structures Authorized by Building Permits for Baldwin County, A",Units,27337
Annual,CBR01003ALA647NCEN,2017-01-01,1989-01-01,Not Seasonally Adjusted,SNAP Benefits Recipients,Persons,27337
Annual,CDC20N2U001003,2017-01-01,1999-01-01,Not Seasonally Adjusted,"Premature Death Rate for Baldwin County, A","Rate per 100,000",27337
Annual,CDC20N2UAA001003,2017-01-01,1999-01-01,Not Seasonally Adjusted,"Age-Adjusted Premature Death Rate for Baldwin County, A","Rate per 100,000",27337
Annual,DMPCRATE001003,2014-01-01,2008-01-01,Not Seasonally Adjusted,Rate of Preventable Hospital Admissions,Rate,27337
Annual,DP04ACS001003,2018-01-01,2010-01-01,Not Seasonally Adjusted,Burdened Households,Percent,27337
Quarterly,ENU0100320510,2019-07-01,1990-01-01,Not Seasonally Adjusted,Number of Private Establishments for All Industries,Establishments,27337
Quarterly,EQFXSUBPRIME001003,2019-10-01,1999-01-01,Not Seasonally Adjusted,"Equifax Subprime Credit Population for Baldwin County, A",Percent,27337
Annual,FBITC001003,2018-01-01,2004-01-01,Not Seasonally Adjusted,Combined Violent and Property Crime Incidents Known to Law Enforcement,Known Incidents,27337
Annual,GDPALL01003,2018-01-01,2001-01-01,Not Seasonally Adjusted,Gross Domestic Product: All Industries,Thousands of U.S. Dollars,27337
Annual,GDPGOODS01003,2018-01-01,2001-01-01,Not Seasonally Adjusted,Gross Domestic Product: Private Goods-Producing Industries,Thousands of U.S. Dollars,27337
Annual,GDPGOVT01003,2018-01-01,2001-01-01,Not Seasonally Adjusted,Gross Domestic Product: Government and Government Enterprises,Thousands of U.S. Dollars,27337
Annual,GDPSERV01003,2018-01-01,2001-01-01,Not Seasonally Adjusted,Gross Domestic Product: Private Services-Providing Industries,Thousands of U.S. Dollars,27337
Annual,HC01ESTVC1601003,2018-01-01,2010-01-01,Not Seasonally Adjusted,High School Graduate or Higher (5-year estimate),Percent,27337
Annual,HC01ESTVC1701003,2018-01-01,2010-01-01,Not Seasonally Adjusted,Bachelor's Degree or Higher (5-year estimate),Percent,27337
Annual,HOWNRATEACS001003,2018-01-01,2009-01-01,Not Seasonally Adjusted,"Homeownership Rate (5-year estimate) for Baldwin County, A",Rate,27337
Annual,LAUCN010030000000003A,2018-01-01,1990-01-01,Not Seasonally Adjusted,Unemployment Rate,Percent,27337
Monthly,LAUCN010030000000004,2020-02-01,1990-01-01,Not Seasonally Adjusted,Unemployed Persons,Persons,27337
Annual,LAUCN010030000000004A,2018-01-01,1990-01-01,Not Seasonally Adjusted,Unemployed Persons,Persons,27337
Monthly,LAUCN010030000000005,2020-02-01,1990-01-01,Not Seasonally Adjusted,Employed Persons,Persons,27337
Annual,LAUCN010030000000005A,2018-01-01,1990-01-01,Not Seasonally Adjusted,Employed Persons,Persons,27337
Annual,LAUCN010030000000006A,2018-01-01,1990-01-01,Not Seasonally Adjusted,Civilian Labor Force,Persons,27337
